T,n,Sample Entropy v_est,Std
0.01,1000,0.15816790961207622,0.0779553472854138
0.01,2000,0.1697203125800314,0.08102806110911831
0.01,5000,0.1452521851863647,0.06891021015198842
0.01,10000,0.14734874878292042,0.06980852512725147
0.01,15000,0.14931757607418267,0.07362908205448594
0.01,20000,0.16169359625930185,0.07895663538233078
0.01,30000,0.1471293442453225,0.07283868755065574
0.01,50000,0.15226885310983201,0.07489937717360996
0.1,1000,0.15225980339888362,0.08072100571626717
0.1,2000,0.1675317471717181,0.0797417626650321
0.1,5000,0.15552586406855967,0.07577800666293764
0.1,10000,0.1562055189237626,0.08559320411928945
0.1,15000,0.14927698566164305,0.07256068540459251
0.1,20000,0.1560873934663285,0.0802926726054804
0.1,30000,0.16980660230105576,0.0822719655345519
0.1,50000,0.14792607556919954,0.07829954520681312
0.5,1000,0.15967498121031884,0.08369532901579049
0.5,2000,0.1535318748075617,0.08810047434488916
0.5,5000,0.15348533180694082,0.08636224446865867
0.5,10000,0.15537996210073232,0.08599067343071333
0.5,15000,0.15974684260890404,0.07963011447292426
0.5,20000,0.14864295746631834,0.07826963555355808
0.5,30000,0.1471997919730761,0.06684581365043543
0.5,50000,0.15032655632757086,0.07446748547432538
1.0,1000,0.15661173051342492,0.08134691474854686
1.0,2000,0.146248733911306,0.07559204212414015
1.0,5000,0.16211779761204084,0.08815790546459236
1.0,10000,0.14785979188575601,0.07482240178985859
1.0,15000,0.14764291257663975,0.07323523622782552
1.0,20000,0.1604463127246926,0.08741647939147242
1.0,30000,0.1566035576462675,0.0757885159421572
1.0,50000,0.15798529683669518,0.08105825241079562
10.0,1000,0.1511625334963149,0.07299465780754578
10.0,2000,0.15540667756918355,0.07474108950417643
10.0,5000,0.14841403543906537,0.07039929690890392
10.0,10000,0.15113274151566805,0.0698278867787335
10.0,15000,0.16621861732343732,0.08244929987734516
10.0,20000,0.1540301573929914,0.08073341716198744
10.0,30000,0.16490447738458833,0.08899136855496924
10.0,50000,0.14426588928784617,0.06995677515706106
15.0,1000,0.15404780608955154,0.07733432167108047
15.0,2000,0.15109176153111334,0.07744327326615089
15.0,5000,0.14952621460408236,0.07651158531821348
15.0,10000,0.15966293398542222,0.09200129684812361
15.0,15000,0.1521081077253492,0.07901218745168019
15.0,20000,0.14284196237657565,0.09151745634638034
15.0,30000,0.1586726998726281,0.08830297209017451
15.0,50000,0.14582226711360366,0.07655646103465928
20.0,1000,0.14946464264767825,0.08312474918734822
20.0,2000,0.15912200767575682,0.07985127433697604
20.0,5000,0.1651377875584637,0.07828864049231188
20.0,10000,0.14528040303500092,0.07584523131424484
20.0,15000,0.15806860366423772,0.07823112537062663
20.0,20000,0.14696331971606308,0.07840088066617097
20.0,30000,0.15430946026596698,0.07421714432978338
20.0,50000,0.14897810940966116,0.08096969277281221
60.0,1000,0.15935415677449827,0.08625186429568615
60.0,2000,0.1529689068220959,0.08394028842601897
60.0,5000,0.15680731133242992,0.07297556739352945
60.0,10000,0.14826645840396646,0.07512332688242734
60.0,15000,0.1440285199377059,0.07131211868326924
60.0,20000,0.16004629974043957,0.0805556507064354
60.0,30000,0.15513776640503107,0.07216069053919222
60.0,50000,0.14837210161313893,0.08217607406040911
