N,n,Sample Entropy,Std
100,1000,0.6817086841432325,0.2548071014618923
100,2000,0.7420657609074971,0.26780842813481937
100,5000,0.7317241101674233,0.26122288581878533
100,10000,0.6786184798163358,0.24649431586521117
100,15000,0.6940447534296504,0.2489317312028358
100,20000,0.6720439805501105,0.23948294807088477
100,30000,0.7751844447207732,0.2620579847186975
100,50000,0.7381209216449897,0.28182628069061816
500,1000,0.36311330448811796,0.16409120672097466
500,2000,0.38829660047038855,0.171560915990744
500,5000,0.33649226375656816,0.172507095329292
500,10000,0.3368783510967942,0.17204118375289154
500,15000,0.32842206957894604,0.16514880115273536
500,20000,0.37357356622936044,0.1676488657734109
500,30000,0.3557061942290187,0.18139494628242514
500,50000,0.3413250123499376,0.16065908646542176
1000,1000,0.23469499522184514,0.12257536169876827
1000,2000,0.23389832057615706,0.1103724354947516
1000,5000,0.232497368409745,0.12741264900575747
1000,10000,0.23710002776155062,0.12286873511948881
1000,15000,0.23319062326268644,0.10982152826675823
1000,20000,0.23437971424507992,0.1292909876846965
1000,30000,0.23801827226282096,0.11597646960507488
1000,50000,0.24216810184243712,0.11617184740103603
2000,1000,0.14995602855437323,0.08241972634328423
2000,2000,0.1535137192990014,0.06702132524542104
2000,5000,0.14318003833134307,0.07902177137780701
2000,10000,0.1565370577968072,0.08346763279004253
2000,15000,0.1477548124946709,0.07848033960217098
2000,20000,0.15191607575547117,0.07737739138399898
2000,30000,0.15829956960006691,0.07932827152268
2000,50000,0.15470487107790415,0.07322378674503341
5000,1000,0.07971826457801892,0.032834380658683646
5000,2000,0.08911188546786314,0.050988534347093155
5000,5000,0.08999431286354115,0.04088636401264612
5000,10000,0.09755072853876234,0.05358963222240673
5000,15000,0.09055147428294738,0.047988688448014995
5000,20000,0.08702938117323501,0.03868081984323481
5000,30000,0.09026435411669531,0.046794205544006276
5000,50000,0.08477120076922037,0.03883422493878868
10000,1000,0.0596293817145172,0.025783317938178646
10000,2000,0.05905070591031656,0.02754231706250314
10000,5000,0.06337942103749611,0.030181921155913356
10000,10000,0.06254072948741903,0.03185983390454476
10000,15000,0.05854268199646746,0.026956048570463756
10000,20000,0.06053878720388323,0.027494775140749505
10000,30000,0.05643732718592135,0.027749059010252715
10000,50000,0.06102001780109641,0.030617268500972728
