T,n,Sample Entropy,Std
0.01,1000,0.1466553644322759,0.07102331975859294
0.01,2000,0.14467444847848218,0.07342837536675596
0.01,5000,0.14394567200892364,0.07914230764184586
0.01,10000,0.1406889543700453,0.06989011866385121
0.01,15000,0.14095072743215378,0.06378529647036336
0.01,20000,0.13796362931921027,0.06800661334311005
0.01,30000,0.15227192286467364,0.06498674747380377
0.01,50000,0.1388966179615257,0.06947986568965374
0.1,1000,0.16907638708701292,0.09282204194081892
0.1,2000,0.15701832804533444,0.07931947167367241
0.1,5000,0.12979561325992245,0.055146072691632526
0.1,10000,0.14619426654890608,0.0706896638249892
0.1,15000,0.14542140526178784,0.07428788637640665
0.1,20000,0.14846820284960877,0.07647260596633305
0.1,30000,0.1464739253858874,0.07649156905688646
0.1,50000,0.14106599325549238,0.07709352698046902
0.5,1000,0.141685767702855,0.06629369163810636
0.5,2000,0.1309617344767768,0.058937124884656265
0.5,5000,0.1420392823789092,0.07136395620693382
0.5,10000,0.1439533599627238,0.07611769283386219
0.5,15000,0.1487432469786566,0.06794268911208413
0.5,20000,0.15706198155751433,0.08370572520777851
0.5,30000,0.1451972865921575,0.0683557259109024
0.5,50000,0.14803692875911698,0.07948276269915307
1.0,1000,0.14349190141518783,0.0790079628490371
1.0,2000,0.13655242169539483,0.0690210039513436
1.0,5000,0.1406510948835251,0.07374676643979015
1.0,10000,0.13367529673859704,0.0621117753791647
1.0,15000,0.13602988136243116,0.07969789796597335
1.0,20000,0.15810811852049156,0.0821213107681089
1.0,30000,0.15331894113526345,0.0685233209571733
1.0,50000,0.15621374700603638,0.0705254030197929
10.0,1000,0.14086840511597482,0.07809440321209073
10.0,2000,0.15169788769640913,0.07753281134427462
10.0,5000,0.15003095635513522,0.07408968401751916
10.0,10000,0.14312206108966985,0.07716191316744853
10.0,15000,0.1362358774677201,0.07698191002139815
10.0,20000,0.14965500042878843,0.08281649913655452
10.0,30000,0.16179513485325706,0.07517395291904574
10.0,50000,0.16041631135070367,0.08347087069090943
15.0,1000,0.14976898882514558,0.07730609790102695
15.0,2000,0.13893739294891566,0.07242084246153731
15.0,5000,0.14404878785397032,0.0652230856787728
15.0,10000,0.15150593409271892,0.07581303010797864
15.0,15000,0.15088689581979553,0.0774535835953124
15.0,20000,0.14719983773636688,0.07137248298762644
15.0,30000,0.1630201286519121,0.08000780050844584
15.0,50000,0.1428805022993107,0.07440476523376024
20.0,1000,0.13868488983097918,0.07198047446975811
20.0,2000,0.14914885344391096,0.07026781566684379
20.0,5000,0.15054316245478272,0.07230933699698965
20.0,10000,0.14439724335348567,0.06866809520090743
20.0,15000,0.143389585699012,0.06971563464334932
20.0,20000,0.1459942221435931,0.0676487477439076
20.0,30000,0.14646003564348212,0.08209371818408104
20.0,50000,0.145865037798699,0.07169536757635403
60.0,1000,0.13345225453819265,0.06170760411194074
60.0,2000,0.1393469643235864,0.07226677148281317
60.0,5000,0.15478620559264114,0.09503181803611704
60.0,10000,0.15550932280155846,0.08035581601270175
60.0,15000,0.14463539528289243,0.06964527577081119
60.0,20000,0.13314745531871913,0.06977103459324985
60.0,30000,0.14700316922650733,0.07896148965307766
60.0,50000,0.14491729633709968,0.06842198320641359
