T,sigma_m,Sample Entropy,Std
0.01,1000,0.0017028100693113942,0.0022830643344015967
0.01,2000,0.001798912630526403,0.002020444168281456
0.01,5000,0.002032966255189955,0.0024497775175212184
0.01,10000,0.002006024112532735,0.002722411127240061
0.01,15000,0.002112142387699645,0.002078175974471609
0.01,20000,0.0019150448629508194,0.002164927651788567
0.01,30000,0.002136653393348455,0.002713651540406956
0.01,50000,0.0019293349001755888,0.002247600676616826
0.1,1000,0.002853985622456356,0.003364369131833922
0.1,2000,0.002468812869350459,0.0028296673655642548
0.1,5000,0.0020608083513335624,0.0025344713320147984
0.1,10000,0.0022752629987136384,0.002597141114966772
0.1,15000,0.0024453974126800826,0.0028342231790939153
0.1,20000,0.0022926366842967393,0.002340825087046825
0.1,30000,0.0023578186475214746,0.002954805532964112
0.1,50000,0.0020439679603409242,0.0022200079599105998
0.5,1000,0.0020735708897045343,0.002244382225329201
0.5,2000,0.0019279614490013016,0.002291317026800885
0.5,5000,0.0022158180536426177,0.0023114024027343404
0.5,10000,0.0017142746369292255,0.0019726924901415943
0.5,15000,0.0019186646555378088,0.0021168659754463004
0.5,20000,0.0023485263644869177,0.002896113520464236
0.5,30000,0.0021242479951586683,0.002723267424666399
0.5,50000,0.0019503964439111364,0.0020010298624713557
1.0,1000,0.002532953190057698,0.0029167080786595173
1.0,2000,0.002486762304039874,0.0032193224234393237
1.0,5000,0.0024909680995921584,0.002482590123463876
1.0,10000,0.0025257338004645406,0.0026153190359251175
1.0,15000,0.0024081686324884445,0.002618773847997645
1.0,20000,0.0027742178062223066,0.0031301700814852294
1.0,30000,0.0028068231740362975,0.002848252634625783
1.0,50000,0.002570070123503834,0.0028091168047789136
10.0,1000,0.002691164951417314,0.0030764328702535277
10.0,2000,0.0025570296281732896,0.0029814969527809346
10.0,5000,0.0023810143281243687,0.0028834485318639577
10.0,10000,0.002278414313251442,0.002988370736391205
10.0,15000,0.002482761419142993,0.003505707554722099
10.0,20000,0.0020788098057969153,0.002592762356399668
10.0,30000,0.0022756008874717905,0.0028364847691402474
10.0,50000,0.0021368941841435514,0.0024034938834287026
15.0,1000,0.0029278648665492578,0.00389335587972903
15.0,2000,0.002289275545617542,0.0027792939378908786
15.0,5000,0.0027173920473048396,0.003297050007513555
15.0,10000,0.002465603970819488,0.002657843273207095
15.0,15000,0.0019460586867179213,0.0024068502118016694
15.0,20000,0.002777785858604877,0.003137638644810825
15.0,30000,0.002203734421989444,0.0024615864517626616
15.0,50000,0.0022256119382075383,0.0031783932323605547
20.0,1000,0.002640848075235323,0.0031683930813115576
20.0,2000,0.0028905308754993107,0.003026694879022865
20.0,5000,0.0022615536136800086,0.0025542339060627625
20.0,10000,0.0021547950642674114,0.0026728025738242418
20.0,15000,0.0020303050624583406,0.0021438947187190946
20.0,20000,0.002600596583841077,0.003408022232267956
20.0,30000,0.003477704548016722,0.004190951698358681
20.0,50000,0.002201476345646512,0.0025409793125684573
60.0,1000,0.003194038945725477,0.003911566179536389
60.0,2000,0.0017912008168652425,0.00220906384902658
60.0,5000,0.002224171386783888,0.002777703196234369
60.0,10000,0.002698202036893761,0.002730780500210395
60.0,15000,0.002730178000539007,0.003582489594943622
60.0,20000,0.0026752932555051063,0.0035959991676954746
60.0,30000,0.002542930683947849,0.0033174419872937727
60.0,50000,0.0024928647462315765,0.002908170771919113
