N,sigma_m,Sample Entropy,Std
100,1000,0.4847200763613425,0.18747888428263368
100,2000,0.4551198303295578,0.1990501661774494
100,5000,0.4595293945605385,0.17159598912825283
100,10000,0.4528696723286577,0.20263123927425428
100,15000,0.47665520076314294,0.1908600360466424
100,20000,0.4425398992460315,0.1966787640981113
100,30000,0.44250441233856436,0.1842322279420122
100,50000,0.47814057508243585,0.183165914297923
500,1000,0.2382951755305117,0.12341423678732091
500,2000,0.25375032308800427,0.11323458308648615
500,5000,0.2632666433100381,0.11181793397394221
500,10000,0.24110501401457904,0.09334561016728755
500,15000,0.25204785675105046,0.10433749629041532
500,20000,0.26607286487826765,0.12013203492993686
500,30000,0.24852491790496614,0.11737017429454488
500,50000,0.2412654956376097,0.10692162333210105
1000,1000,0.16308963866826814,0.08785949352252702
1000,2000,0.1726336488979589,0.08950330654268195
1000,5000,0.17296029733514345,0.07722100396621222
1000,10000,0.16745087328128266,0.08432662836139475
1000,15000,0.16275509411880545,0.08390936999345894
1000,20000,0.16550009184641312,0.08443901381026153
1000,30000,0.17127243295637107,0.08325429597936002
1000,50000,0.17657129086123163,0.08580915432791199
2000,1000,0.11379077288925007,0.04662420199276142
2000,2000,0.11098268161384674,0.05227755042673016
2000,5000,0.11189831202940423,0.05708459726120923
2000,10000,0.12129141919542288,0.058783064492626005
2000,15000,0.11089219718893933,0.049953035696006017
2000,20000,0.11227512136754177,0.050396397304442106
2000,30000,0.1135790561487898,0.05547694747352057
2000,50000,0.1162625530108883,0.0641117288377673
5000,1000,0.0689134401738995,0.03257868980830547
5000,2000,0.07209355808005773,0.03145481418735333
5000,5000,0.0654068595246175,0.032428091843524603
5000,10000,0.06404350407875121,0.02697535623536396
5000,15000,0.06426712645839167,0.032034237895855064
5000,20000,0.06271927320471822,0.02845821346337633
5000,30000,0.06818000832408527,0.03778580580335299
5000,50000,0.059985579603767894,0.02741452104388257
10000,1000,0.04386340274899919,0.02279770135929196
10000,2000,0.04525364201159105,0.018994959020816903
10000,5000,0.04687717103975344,0.022736527135483107
10000,10000,0.047018422656100574,0.020425865712417234
10000,15000,0.045326619012375904,0.020358017419883998
10000,20000,0.04444048223513059,0.02118497180190754
10000,30000,0.04500251686230845,0.019618615635517835
10000,50000,0.0467332104824845,0.021505005090919013
